<TICKER>,<PER>,<DATE>,<TIME>,<USD_OPEN>,<USD_HIGH>,<USD_LOW>,<USD_CLOSE>,<USD_VOL>
USDRUB,60,20160204,210000,75.7568000,76.3606000,75.6335000,76.3169000,44652
USDRUB,60,20160204,220000,76.3169000,76.6846000,76.1760000,76.4946000,40322
USDRUB,60,20160204,230000,76.4946000,76.6096000,76.0900000,76.3296000,40841
USDRUB,60,20160205,000000,76.3296000,76.8548000,76.1958000,76.7304000,38260
USDRUB,60,20160205,010000,76.7446000,76.9486000,76.5245000,76.7546000,36595
USDRUB,60,20160205,020000,76.7546000,76.9422000,76.6413000,76.6797000,24553
USDRUB,60,20160205,030000,76.6797000,76.9115000,76.1741000,76.1741000,3339
USDRUB,60,20160205,040000,76.6881000,76.8482000,76.0470000,76.1003000,2718
USDRUB,60,20160205,050000,76.3911000,76.8985000,75.8173000,76.4383000,2130
USDRUB,60,20160205,060000,76.3121000,76.8499000,76.3010000,76.4729000,2188
USDRUB,60,20160205,070000,76.8084000,76.8633000,76.4729000,76.7231000,3567
USDRUB,60,20160205,080000,76.8755000,76.8878000,76.3554000,76.7326000,4092
USDRUB,60,20160205,090000,76.8878000,76.8915000,76.3850000,76.7171000,3855
USDRUB,60,20160205,100000,76.8700000,77.0104000,76.2250000,76.5317000,4193
USDRUB,60,20160205,110000,76.7098000,76.7333000,76.2762000,76.5279000,3326
USDRUB,60,20160205,120000,76.5279000,77.1911000,76.2100000,76.5626000,5273
USDRUB,60,20160205,130000,76.5626000,77.4729000,76.5626000,77.2331000,45788
USDRUB,60,20160205,140000,77.2226000,77.6346000,77.1662000,77.4196000,49295
USDRUB,60,20160205,150000,77.4196000,77.4533000,76.3767000,76.6701000,51708
USDRUB,60,20160205,160000,76.6696000,77.0743000,76.5330000,76.9411000,46011
USDRUB,60,20160205,170000,76.9411000,77.1096000,76.5842000,76.8414000,44946
USDRUB,60,20160205,180000,76.8414000,76.9896000,76.5442000,76.7985000,41287
USDRUB,60,20160205,190000,76.7981000,77.4108000,76.2480000,77.1617000,32778
USDRUB,60,20160205,200000,77.1617000,77.7412000,76.9820000,77.5523000,38771
USDRUB,60,20160205,210000,77.5380000,77.5653000,77.0445000,77.2364000,43399
USDRUB,60,20160205,220000,77.2370000,77.5386000,77.1270000,77.3553000,37566
USDRUB,60,20160205,230000,77.3667000,77.5014000,77.1783000,77.3796000,35045
USDRUB,60,20160206,000000,77.3796000,77.3930000,77.0413000,77.1920000,37030
USDRUB,60,20160206,010000,77.1920000,77.5686000,77.0893000,77.5196000,31886
USDRUB,60,20160206,020000,77.5054000,77.5751000,76.2068000,77.4641000,22271
USDRUB,60,20160206,030000,77.5085000,77.6210000,75.9404000,76.8843000,2190
USDRUB,60,20160206,040000,77.1793000,77.5280000,77.1793000,77.3281000,12
USDRUB,60,20160206,050000,77.3281000,77.3281000,77.3281000,77.3281000,10
USDRUB,60,20160208,000000,77.1690000,77.9009000,77.1690000,77.6027000,35
USDRUB,60,20160208,010000,77.8982000,77.8984000,76.0174000,77.6026000,40
USDRUB,60,20160208,020000,77.8981000,77.8994000,76.0089000,77.6041000,33
USDRUB,60,20160208,030000,77.8996000,77.9808000,77.6021000,77.9787000,63
USDRUB,60,20160208,040000,77.9787000,78.1298000,76.4995000,77.5383000,70
USDRUB,60,20160208,050000,77.8338000,77.8338000,75.7817000,77.0533000,88
USDRUB,60,20160208,060000,77.3488000,77.3488000,75.8995000,77.0020000,86
USDRUB,60,20160208,070000,77.2973000,77.5270000,77.0495000,77.0785000,16
USDRUB,60,20160208,080000,77.3740000,77.5430000,76.2575000,77.3121000,812
USDRUB,60,20160208,090000,77.4405000,77.4838000,76.7995000,77.2571000,958
USDRUB,60,20160208,100000,77.4478000,77.4873000,76.7411000,77.0871000,1337
USDRUB,60,20160208,110000,77.4229000,77.4229000,76.4740000,76.4740000,1339
USDRUB,60,20160208,120000,76.8272000,77.2805000,76.0915000,76.8416000,3332
USDRUB,60,20160208,130000,76.8671000,77.1329000,76.4124000,77.0511000,42522
USDRUB,60,20160208,140000,77.0511000,77.0986000,76.3669000,76.5583000,45812
USDRUB,60,20160208,150000,76.5583000,77.1101000,76.5200000,76.9905000,45396
USDRUB,60,20160208,160000,76.9891000,77.1649000,76.8211000,77.0568000,42158
USDRUB,60,20160208,170000,77.0568000,77.2937000,76.8885000,76.9173000,39153
USDRUB,60,20160208,180000,76.9173000,77.5021000,76.8835000,77.4831000,41922
USDRUB,60,20160208,190000,77.4831000,77.5200000,77.1470000,77.2667000,45421
USDRUB,60,20160208,200000,77.2667000,77.7135000,77.0081000,77.5996000,44967
USDRUB,60,20160208,210000,77.5898000,78.3046000,77.4720000,78.0935000,42290
USDRUB,60,20160208,220000,78.0736000,78.5796000,77.9998000,78.3603000,41487
USDRUB,60,20160208,230000,78.3603000,78.5545000,78.2610000,78.4909000,38101
USDRUB,60,20160209,000000,78.4909000,78.9698000,78.4220000,78.9602000,38440
USDRUB,60,20160209,010000,78.9536000,79.0876000,78.7200000,78.8461000,37026
USDRUB,60,20160209,020000,78.8451000,78.8796000,77.4868000,77.4868000,36335
USDRUB,60,20160209,030000,77.4868000,78.7332000,75.3868000,75.3868000,3243
USDRUB,60,20160209,040000,77.1067000,78.2532000,75.3737000,77.6442000,507
USDRUB,60,20160209,050000,77.7410000,78.3827000,76.8000000,78.2458000,216
USDRUB,60,20160209,060000,78.3114000,79.5001000,77.2386000,78.1672000,887
USDRUB,60,20160209,070000,78.0982000,78.5328000,77.2200000,78.2821000,2375
USDRUB,60,20160209,080000,78.5108000,80.0166000,78.0907000,78.2708000,4357
USDRUB,60,20160209,090000,78.7035000,78.8402000,78.1612000,78.3721000,4959
USDRUB,60,20160209,100000,78.7969000,80.0503000,78.1043000,78.2571000,4812
USDRUB,60,20160209,110000,78.4566000,78.6056000,78.1900000,78.2921000,4076
USDRUB,60,20160209,120000,78.2871000,79.0680000,78.2024000,78.9471000,5043
USDRUB,60,20160209,130000,79.0290000,79.2631000,78.3280000,78.5381000,50143
USDRUB,60,20160209,140000,78.5398000,78.6427000,78.1363000,78.2351000,50965
USDRUB,60,20160209,150000,78.2376000,78.6756000,78.2238000,78.5871000,45166
USDRUB,60,20160209,160000,78.5871000,78.6665000,78.0480000,78.2201000,39819
USDRUB,60,20160209,170000,78.2201000,78.6685000,78.1119000,78.4746000,41304
USDRUB,60,20160209,180000,78.4721000,79.0639000,78.3994000,78.8841000,42076
USDRUB,60,20160209,190000,78.8841000,79.0760000,78.5994000,78.6931000,45328
USDRUB,60,20160209,200000,78.6886000,78.9001000,78.2919000,78.4131000,39592
