<TICKER>,<PER>,<DATE>,<TIME>,<AF_OPEN>,<AF_HIGH>,<AF_LOW>,<AF_CLOSE>,<AF_VOL>
DJ.A1FIN,60,20151105,130000,249.2895734,249.3369418,249.2685208,249.3106260,405
DJ.A1FIN,60,20151105,140000,249.3053629,249.3474682,249.2685208,249.3316787,397
DJ.A1FIN,60,20151105,150000,249.3369418,250.6579950,249.2422050,250.6579950,536
DJ.A1FIN,60,20151105,160000,250.6790476,250.7737845,249.1948365,249.5843104,548
DJ.A1FIN,60,20151105,170000,249.6579946,250.2053632,249.6053630,250.2053632,145
DJ.A1FIN,60,20151105,180000,250.1053632,250.4737844,250.0001000,250.3843107,387
DJ.A1FIN,60,20151105,190000,250.4053633,250.6632582,250.1001000,250.5948371,501
DJ.A1FIN,60,20151105,200000,250.6158897,250.7158898,250.1579948,250.3527317,467
DJ.A1FIN,60,20151105,210000,250.3685212,250.8632582,250.1001000,250.5158897,476
DJ.A1FIN,60,20151105,220000,250.5106265,250.5158897,250.4843107,250.4948370,112
DJ.A1FIN,60,20151106,010000,250.5001002,250.5158897,250.4895739,250.4948370,128
DJ.A1FIN,60,20151106,020000,250.5053634,250.5106265,250.4843107,250.5053634,142
DJ.A1FIN,60,20151106,030000,250.5106265,250.5106265,250.5053634,250.5053634,10
DJ.A1FIN,60,20151106,050000,250.4948370,250.5053634,250.4843107,250.4895739,47
DJ.A1FIN,60,20151106,060000,250.4843107,250.4948370,250.4843107,250.4895739,49
DJ.A1FIN,60,20151106,070000,250.4948370,250.5001002,250.4685212,250.4737844,191
DJ.A1FIN,60,20151106,080000,250.4685212,250.5001002,250.4685212,250.4843107,260
DJ.A1FIN,60,20151106,090000,250.4895739,250.5053634,250.4843107,250.4895739,302
DJ.A1FIN,60,20151106,100000,250.4948370,250.5001002,250.4632581,250.4737844,322
DJ.A1FIN,60,20151106,110000,250.4790476,250.4843107,250.4474686,250.4527318,292
DJ.A1FIN,60,20151106,120000,250.4474686,250.4527318,250.4158896,250.4422054,385
DJ.A1FIN,60,20151106,130000,250.4474686,250.4527318,250.3685212,250.4001002,368
DJ.A1FIN,60,20151106,140000,250.4053633,250.4106265,250.0843106,250.1316790,431
DJ.A1FIN,60,20151106,150000,250.1211527,253.3843119,250.0579948,251.8369428,523
DJ.A1FIN,60,20151106,160000,251.8632586,252.3948378,251.1316794,251.8001007,592
DJ.A1FIN,60,20151106,170000,251.7948376,251.8790481,251.1474689,251.3579953,579
DJ.A1FIN,60,20151106,180000,251.3737848,251.6316796,250.9001004,251.1158899,532
DJ.A1FIN,60,20151106,190000,251.1211531,251.8895744,251.0895741,251.8001007,467
DJ.A1FIN,60,20151106,200000,251.8053639,252.1527324,251.3001005,251.5790480,508
DJ.A1FIN,60,20151106,210000,251.5632585,251.9895745,251.5474690,251.8948376,512
DJ.A1FIN,60,20151106,220000,251.9264166,251.9369429,251.9106271,251.9264166,88
DJ.A1FIN,60,20151109,010000,251.9211534,251.9264166,251.8948376,251.9001008,71
DJ.A1FIN,60,20151109,020000,251.9053639,251.9316797,251.9001008,251.9316797,50
DJ.A1FIN,60,20151109,030000,251.9369429,251.9474692,251.9316797,251.9422060,68
DJ.A1FIN,60,20151109,040000,251.9474692,251.9527324,251.9369429,251.9422060,50
DJ.A1FIN,60,20151109,050000,251.9474692,251.9474692,251.9369429,251.9369429,27
DJ.A1FIN,60,20151109,060000,251.9422060,251.9579955,251.9369429,251.9579955,56
DJ.A1FIN,60,20151109,070000,251.9632587,251.9737850,251.9527324,251.9579955,60
DJ.A1FIN,60,20151109,080000,251.9527324,251.9632587,251.9211534,251.9579955,196
DJ.A1FIN,60,20151109,090000,251.9632587,251.9737850,251.9474692,251.9579955,178
DJ.A1FIN,60,20151109,100000,251.9527324,251.9737850,251.9316797,251.9422060,225
DJ.A1FIN,60,20151109,110000,251.9474692,251.9895745,251.9422060,251.9579955,176
DJ.A1FIN,60,20151109,120000,251.9632587,251.9632587,251.9106271,251.9632587,284
DJ.A1FIN,60,20151109,130000,251.9579955,251.9790482,251.9369429,251.9422060,296
DJ.A1FIN,60,20151109,140000,251.9527324,251.9737850,251.8474692,251.8685218,402
DJ.A1FIN,60,20151109,150000,251.8579955,251.8895744,250.3685212,250.5211528,509
DJ.A1FIN,60,20151109,160000,250.5106265,250.6843108,249.5948367,249.8843105,586
DJ.A1FIN,60,20151109,170000,249.8737842,249.8737842,248.5422047,248.5422047,569
DJ.A1FIN,60,20151109,180000,248.5264152,249.2474681,248.3422046,249.1843102,473
DJ.A1FIN,60,20151109,190000,249.2158892,249.3053629,248.4053625,248.6316784,487
DJ.A1FIN,60,20151109,200000,248.6264152,248.9053627,248.1790466,248.2158888,524
DJ.A1FIN,60,20151109,210000,248.2211519,249.5106261,247.8632570,249.0369417,557
DJ.A1FIN,60,20151109,220000,249.0369417,249.0369417,249.0106259,249.0158891,109
DJ.A1FIN,60,20151110,010000,249.0211522,249.0316786,249.0053628,249.0158891,168
DJ.A1FIN,60,20151110,020000,249.0053628,249.0316786,249.0053628,249.0106259,124
DJ.A1FIN,60,20151110,030000,249.0211522,249.0369417,249.0106259,249.0264154,118
DJ.A1FIN,60,20151110,040000,249.0316786,249.0369417,249.0211522,249.0316786,98
DJ.A1FIN,60,20151110,050000,249.0369417,249.0369417,249.0211522,249.0264154,89
DJ.A1FIN,60,20151110,060000,249.0316786,249.0369417,249.0211522,249.0211522,146
DJ.A1FIN,60,20151110,070000,249.0264154,249.0422049,249.0211522,249.0211522,100
DJ.A1FIN,60,20151110,080000,249.0264154,249.0264154,248.9948364,249.0106259,259
DJ.A1FIN,60,20151110,090000,249.0053628,249.0264154,249.0000996,249.0211522,332
DJ.A1FIN,60,20151110,100000,249.0158891,249.0211522,248.9790470,249.0158891,346
DJ.A1FIN,60,20151110,110000,249.0211522,249.0264154,249.0000996,249.0106259,315
DJ.A1FIN,60,20151110,120000,249.0053628,249.0264154,248.9737838,249.0053628,343
DJ.A1FIN,60,20151110,130000,249.0000996,249.0527312,248.9422048,248.9895733,369
